
|PKG_NAME                      |MODEL_NAME                                        |SCHEMA_NAME         |TABLE_NAME                              |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |ZMM_ODGP                                |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE8                                     |SAPABAP1            |ZMM_ODGP                                |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE9                                     |SAPABAP1            |ZMM_ODGP                                |
|wip-slowmove                  |SAP_AT_MIGO                                       |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |SAP_AT_MIGO                                       |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |SAP_AT_MIGO                                       |SAPABAP1            |T156T                                   |
|wip-slowmove                  |Z1                                                |SAPABAP1            |MARD                                    |
